a,b,c,result
66,70,35,307
37,16,39,83
97,75,88,331
35,36,58,120
53,73,1,324
59,9,8,137
80,24,95,137
66,33,27,204
57,58,40,248
21,61,15,210
48,80,94,242
84,65,87,276
68,21,87,112
100,6,10,208
10,10,15,35
27,67,46,209
95,80,72,358
46,32,69,119
46,55,79,178
19,94,23,297
42,18,80,58
49,36,61,145
41,22,34,114
75,22,28,188
23,60,81,145
74,8,80,92
7,38,45,83
52,35,31,178
69,15,84,99
67,34,67,169
82,12,4,196
14,16,38,38
4,70,78,140
38,3,15,70
49,15,53,90
20,50,81,109
94,44,70,250
61,44,29,225
21,17,98,-5
46,60,94,178
57,96,68,334
80,95,90,355
28,75,27,254
45,96,2,376
13,84,33,245
85,46,73,235
4,93,74,213
12,59,36,165
1,72,37,181
68,38,65,185
71,28,99,127
78,97,67,380
58,48,37,223
58,71,17,312
1,68,94,112
36,37,90,93
19,54,20,180
33,89,11,322
46,51,77,168
63,27,8,199
55,10,88,52
49,89,56,309
89,38,66,226
80,31,10,243
11,90,11,281
40,52,73,163
33,46,9,195
74,19,9,196
35,58,39,205
54,67,82,227
98,73,3,412
79,9,8,177
82,72,63,317
73,52,66,236
58,97,15,392
60,57,34,257
8,34,13,105
40,43,57,152
75,72,96,270
94,78,40,382
7,36,8,114
69,65,27,306
30,74,60,222
28,56,88,136
46,15,35,102
24,75,10,263
98,31,2,287
35,88,93,241
67,95,93,326
43,62,76,196
4,94,2,288
42,10,3,111
67,6,80,72
20,1,59,-16
87,68,98,280
67,16,13,169
67,71,79,268
1,16,80,-30
22,4,99,-43
72,4,23,133
20,29,93,34
69,84,35,355
17,34,87,49
7,34,9,107
71,93,79,342
18,94,31,287
29,22,74,50
11,70,74,158
12,7,65,-20
53,1,40,69
76,8,6,170
91,28,99,167
59,47,89,170
95,75,11,404
57,35,92,127
68,1,42,97
54,11,22,119
44,6,55,51
97,95,80,399
94,71,63,338
98,77,51,376
31,73,42,239
74,78,79,303
92,100,46,438
40,23,16,133
89,99,96,379
66,64,90,234
50,44,11,221
50,95,9,376
85,84,63,359
38,51,11,218
1,97,35,258
89,85,94,339
20,81,75,208
76,77,80,303
58,63,71,234
13,28,39,71
95,83,43,396
90,27,20,241
15,26,60,48
4,66,30,176
70,98,94,340
28,99,94,259
74,44,92,188
76,32,51,197
65,20,82,108
84,89,1,434
61,75,21,326
34,7,5,84
92,20,2,242
3,96,76,218
5,29,10,87
82,69,11,360
83,86,89,335
68,70,33,313
100,81,47,396
88,25,100,151
50,38,83,131
19,47,62,117
48,39,84,129
23,76,81,193
70,10,36,134
46,98,32,354
53,28,35,155
80,23,47,182
81,69,32,337
24,7,6,63
91,54,35,309
100,100,70,430
80,66,12,346
97,12,12,218
72,73,50,313
100,27,30,251
32,9,98,-7
94,84,48,392
27,99,61,290
4,7,42,-13
48,97,22,365
63,75,2,349
16,98,51,275
78,60,93,243
46,83,90,251
20,68,38,206
24,53,73,134
28,96,35,309
100,88,49,415
86,40,20,272
46,80,19,313
3,33,33,72
14,6,100,-54
13,21,82,7
66,83,32,349
70,78,48,326
12,41,6,141
7,55,57,122
75,26,41,187
49,65,49,244
63,94,12,396
78,96,38,406
59,64,70,240
85,92,51,395
55,83,87,272
79,15,60,143
73,41,72,197
18,21,96,3
54,17,42,117
6,7,72,-39
76,71,33,332
80,95,10,435
63,49,17,256
74,25,100,123
42,45,63,156
29,23,53,74
26,57,49,174
46,8,40,76
86,86,34,396
41,3,43,48
63,76,33,321
81,82,20,388
16,49,71,108
73,100,17,429
76,74,86,288
8,86,37,237
81,33,26,235
24,31,41,100
47,21,90,67
32,31,86,71
38,80,70,246
3,16,22,32
3,44,94,44
94,92,8,456
26,94,22,312
13,92,74,228
52,55,43,226
24,10,74,4
80,65,34,321
87,58,60,288
26,20,51,61
88,41,38,261
92,48,71,257
13,59,58,145
42,82,50,280
25,1,3,50
96,66,74,316
47,49,25,216
56,23,18,163
28,69,63,200
95,27,43,228
66,26,14,196
6,56,64,116
44,37,78,121
16,1,98,-63
67,32,58,172
17,14,15,61
19,60,86,132
50,30,64,126
8,2,85,-63
100,9,67,160
67,77,4,361
99,92,25,449
13,46,15,149
1,11,17,18
65,79,45,322
85,46,58,250
83,33,80,185
92,60,65,299
12,73,2,241
3,80,38,208
37,34,25,151
14,30,59,59
43,31,4,175
77,53,98,215
94,100,83,405
66,66,38,292
82,27,18,227
15,68,33,201
14,64,2,218
27,84,52,254
62,45,76,183
48,11,27,102
54,38,40,182
3,57,22,155
76,57,71,252
17,1,4,33
45,86,7,341
20,96,73,255
49,95,71,312
79,46,90,206
96,79,13,416
14,74,80,170
17,83,39,244
73,17,52,145
85,5,68,117
77,55,40,279
94,49,58,277
74,65,97,246
27,42,68,112
8,19,13,60
15,58,86,118
63,21,65,124
66,63,79,242
67,5,20,129
18,52,29,163
88,3,64,121
81,9,76,113
26,55,29,188
90,99,83,394
81,36,69,201
59,78,41,311
41,32,77,101
56,100,62,350
18,97,48,279
75,27,48,183
31,6,81,-1
22,63,20,213
15,95,7,308
90,97,50,421
48,93,25,350
17,93,97,216
23,33,44,101
75,8,65,109
70,68,57,287
30,38,10,164
39,34,55,125
34,99,79,286
59,54,86,194
53,12,55,87
38,31,61,108
54,83,20,337
54,40,69,159
76,9,12,167
36,66,37,233
3,31,25,74
67,73,44,309
5,18,51,13
63,100,56,370
92,38,10,288
36,93,69,282
35,76,30,268
21,82,81,207
95,87,45,406
4,7,78,-49
3,88,49,221
27,75,15,264
14,85,12,271
53,10,62,74
31,59,70,169
14,41,1,150
83,26,82,162
79,37,4,265
55,31,31,172
39,54,23,217
34,75,22,271
25,85,67,238
44,51,53,188
46,90,40,322
91,2,58,130
56,27,24,169
99,66,37,359
70,68,55,289
50,91,27,346
65,91,73,330
46,40,37,175
63,35,80,151
9,96,22,284
9,12,74,-20
72,94,51,375
91,68,36,350
25,35,3,152
28,89,55,268
12,67,57,168
6,73,25,206
59,79,42,313
37,63,30,233
68,13,26,149
96,21,76,179
53,67,68,239
85,76,54,344
57,29,76,125
16,36,33,107
58,44,72,176
84,76,44,352
14,89,73,222
41,81,34,291
78,21,93,126
43,99,91,292
54,37,36,183
78,9,44,139
74,49,28,267
55,41,44,189
28,19,44,69
94,75,83,330
3,50,20,136
68,20,14,182
80,23,89,140
61,89,91,298
3,28,2,88
9,97,15,294
17,67,4,231
62,90,92,302
88,10,5,201
29,15,3,100
40,20,94,46
54,65,52,251
69,20,87,111
65,58,55,249
61,63,41,270
45,9,33,84
56,96,41,359
14,2,68,-34
41,18,71,65
96,38,21,285
43,5,98,3
61,96,97,313
11,88,82,204
83,70,34,342
27,83,86,217
36,34,48,126
82,12,34,166
68,23,51,154
47,88,85,273
96,8,91,125
49,84,87,263
19,24,90,20
70,54,67,235
35,66,60,208
59,22,13,171
40,10,84,26
15,22,95,1
10,51,27,146
59,90,85,303
34,88,83,249
16,41,87,68
94,20,99,149
13,69,69,164
28,54,79,139
24,19,93,12
40,9,44,63
19,86,69,227
74,64,93,247
80,35,68,197
48,90,36,330
87,65,64,305
16,25,4,103
69,5,69,84
58,76,71,273
81,1,24,141
4,42,51,83
50,4,33,79
36,24,21,123
52,4,30,86
52,60,84,200
71,18,75,121
19,11,23,48
8,21,88,-9
65,85,38,347
19,46,1,175
93,16,60,174
31,35,44,123
77,2,81,79
2,74,50,176
21,63,47,184
97,10,72,152
36,65,14,253
14,91,98,203
51,63,55,236
67,24,35,171
75,48,64,230
43,70,91,205
93,26,76,188
11,5,62,-25
85,52,11,315
11,79,56,203
8,8,2,38
6,31,29,76
9,84,90,180
8,3,31,-6
64,24,32,168
48,7,46,71
10,67,33,188
42,20,7,137
53,83,79,276
77,50,52,252
44,57,11,248
20,5,3,52
33,84,16,302
18,60,6,210
58,30,31,175
68,46,23,251
42,5,39,60
37,31,29,138
44,42,92,122
16,76,84,176
89,99,9,466
8,79,39,214
7,59,100,91
96,53,75,276
95,77,19,402
77,29,29,212
55,63,86,213
51,34,2,202
68,95,84,337
30,50,53,157
90,12,10,206
7,65,45,164
100,16,34,214
100,48,13,331
40,47,100,121
39,78,66,246
29,47,100,99
49,64,33,257
99,89,87,378
80,70,32,338
37,2,94,-14
55,18,79,85
29,34,90,70
18,73,97,158
95,10,38,182
64,47,11,258
63,80,72,294
90,47,95,226
40,28,42,122
47,59,99,172
84,64,98,262
24,3,11,46
76,33,59,192
12,64,45,171
28,37,64,103
75,34,58,194
46,36,29,171
6,34,82,32
14,67,73,156
66,53,46,245
58,84,29,339
91,10,38,174
54,80,11,337
24,66,4,242
49,24,38,132
88,1,28,151
96,29,50,229
48,25,83,88
98,96,26,458
64,6,78,68
20,15,5,80
54,65,63,240
1,91,74,201
7,87,42,233
8,43,26,119
29,24,82,48
45,84,86,256
54,8,98,34
53,6,51,73
51,14,56,88
87,29,7,254
24,46,75,111
83,96,26,428
99,55,8,355
87,100,87,387
65,66,6,322
16,72,70,178
2,66,38,164
11,16,12,58
21,19,38,61
50,3,83,26
24,43,62,115
40,70,81,209
96,86,31,419
4,12,59,-15
9,33,30,87
89,96,22,444
50,12,83,53
17,16,95,-13
60,32,8,208
47,7,24,91
25,9,63,14
5,3,6,13
31,33,62,99
48,42,93,129
68,87,79,318
44,7,83,26
86,67,61,312
100,64,56,336
25,99,62,285
83,53,65,260
13,80,97,169
37,50,1,223
20,23,2,107
29,71,12,259
12,60,59,145
5,32,7,99
7,74,46,190
35,44,37,165
18,27,58,59
50,12,2,134
82,72,92,288
28,5,92,-21
26,25,94,33
18,1,41,-2
58,34,52,166
61,25,86,111
92,46,12,310
76,89,26,393
7,26,98,-6
14,2,92,-58
76,90,47,375
53,36,18,196
4,75,3,230
80,97,79,372
99,4,54,156
34,94,33,317
69,12,48,126
85,7,53,138
4,14,49,1
6,29,69,30
41,5,57,40
48,7,75,42
43,67,13,274
14,10,60,-2
6,53,99,72
87,62,83,277
14,79,39,226
95,27,93,178
79,1,91,70
89,94,74,386
60,21,77,106
62,68,76,252
6,66,38,172
58,24,57,131
2,74,92,134
98,86,40,414
100,88,52,412
74,82,46,348
31,75,86,201
60,79,40,317
76,15,46,151
28,25,95,36
22,2,51,-1
50,13,1,138
86,37,99,184
83,41,59,230
18,26,30,84
30,31,80,73
69,68,71,271
62,34,8,218
24,33,53,94
52,90,92,282
50,11,26,107
68,64,21,307
40,84,22,310
60,62,63,243
65,81,18,355
13,10,70,-14
67,58,98,210
23,23,80,35
1,58,82,94
75,20,68,142
82,53,22,301
8,39,83,50
21,15,74,13
72,44,52,224
42,82,34,296
34,1,40,31
51,25,43,134
87,91,11,436
74,41,54,217
69,35,12,231
17,18,33,55
68,62,98,224
94,78,4,418
41,28,33,133
79,56,26,300
76,62,73,265
77,66,13,339
8,83,51,214
77,67,84,271
7,23,41,42
59,56,79,207
12,73,80,163
72,75,89,280
75,71,41,322
91,67,98,285
31,83,89,222
31,91,18,317
75,56,16,302
58,66,22,292
46,34,8,186
74,83,59,338
79,55,81,242
45,61,53,220
61,29,46,163
24,22,29,85
46,59,99,170
98,22,70,192
84,53,79,248
69,76,17,349
38,83,89,236
55,31,48,155
86,30,45,217
61,43,56,195
5,98,32,272
6,27,5,88
18,66,84,150
44,43,100,117
45,32,88,98
41,64,8,266
61,70,52,280
47,85,47,302
43,45,83,138
88,92,76,376
46,26,35,135
9,21,37,44
7,16,34,28
61,67,72,251
50,84,90,262
17,57,34,171
43,62,66,206
41,70,20,272
35,57,1,240
4,45,60,83
16,20,78,14
72,4,15,141
54,26,85,101
47,69,39,262
19,42,56,108
34,26,31,115
89,17,61,168
25,100,44,306
74,23,80,137
43,13,46,79
91,12,56,162
2,83,72,181
100,83,36,413
1,9,43,-14
21,44,99,75
45,32,70,116
50,51,83,170
44,85,60,283
74,89,67,348
82,18,67,151
11,90,63,229
16,26,28,82
98,95,83,398
94,83,8,429
75,16,24,174
39,45,20,193
89,39,26,269
84,98,76,386
43,76,4,310
12,72,19,221
92,20,66,178
68,74,70,288
91,33,34,247
11,10,31,21
71,49,5,284
83,99,23,440
14,63,86,131
3,95,68,223
24,82,81,213
26,61,25,210
89,59,95,260
24,20,29,79
26,34,36,118
60,43,12,237
12,18,99,-21
79,94,80,360
43,55,51,200
65,92,22,384
20,56,65,143
15,84,51,231
34,18,45,77
55,61,6,287
13,52,59,123
30,50,62,148
63,1,22,107
1,68,61,145
15,30,56,64
84,91,14,427
64,1,27,104
78,8,70,110
95,46,21,307
46,54,93,161
14,25,66,37
25,74,19,253
59,93,35,362
75,57,1,320
12,15,7,62
2,43,53,80
7,11,93,-46
86,16,66,154
60,60,81,219
15,40,86,64
61,3,83,48
27,82,58,242
59,87,5,374
41,2,77,11
40,96,39,329
17,27,70,45
53,32,27,175
76,49,38,261
79,98,13,439
1,35,1,106
17,69,92,149
70,99,78,359
17,33,76,57
75,85,7,398
47,69,64,237
50,65,14,281
99,44,58,272
27,17,54,51
95,9,30,187
79,15,12,191
57,75,64,275
88,99,80,393
79,54,72,248
64,1,71,60
30,38,34,140
46,29,13,166
41,8,31,75
13,28,14,96
54,73,1,326
84,42,81,213
6,72,18,210
33,65,85,176
10,24,30,62
46,98,40,346
89,61,47,314
96,43,59,262
19,29,16,109
44,95,86,287
8,38,18,112
97,90,39,425
99,43,91,236
20,33,25,114
13,14,33,35
78,55,41,280
60,5,88,47
3,12,1,41
16,77,41,222
14,26,66,40
100,76,48,380
69,9,99,66
11,32,79,39
69,93,64,353
10,90,33,257
72,2,65,85
87,20,16,218
57,11,54,93
52,14,90,56
85,61,30,323
66,97,99,324
28,40,96,80
24,21,72,39
33,82,77,235
98,99,25,468
36,55,31,206
47,1,47,50
79,14,82,118
34,97,17,342
29,46,30,166
18,51,1,188
82,89,47,384
38,65,23,248
24,32,92,52
99,85,18,435
38,10,20,86
69,96,87,339
70,28,50,174
7,27,10,85
47,25,18,151
30,76,11,277
22,23,33,80
24,27,80,49
67,45,33,236
90,17,39,192
87,90,83,361
71,85,93,304
82,41,14,273
45,59,17,250
36,68,56,220
88,80,22,394
50,99,33,364
72,8,5,163
35,28,68,86
3,33,6,99
89,45,60,253
30,53,74,145
15,61,1,212
27,85,48,261
59,67,22,297
19,75,18,245
97,36,32,270
48,75,66,255
16,47,36,137
39,15,90,33
1,60,81,101
57,87,50,325
60,28,48,156
82,24,63,173
50,97,23,368
80,76,15,373
30,49,39,168
92,81,86,341
59,75,43,300
61,93,36,365
69,75,61,302
80,27,69,172
38,50,33,193
26,38,10,156
65,7,64,87
86,63,1,360
57,37,37,188
93,67,72,315
21,15,91,-4
88,92,25,427
53,25,34,147
53,14,31,117
40,45,92,123
99,27,50,229
16,34,15,119
38,41,14,185
4,96,34,262
68,87,27,370
41,68,35,251
72,37,82,173
90,34,51,231
63,36,40,194
85,25,23,222
74,3,37,120
28,28,60,80
50,8,40,84
3,4,23,-5
95,58,81,283
88,11,81,128
41,8,89,17
32,85,22,297
20,62,68,158
97,81,74,363
61,46,20,240
83,88,58,372
89,59,63,292
29,74,39,241
81,47,54,249
5,69,86,131
39,15,62,61
26,24,74,50
51,14,75,69
100,65,37,358
42,16,77,55
91,62,19,349
69,21,12,189
66,26,24,186
18,51,63,126
46,26,37,133
25,60,15,215
72,59,4,317
81,29,65,184
89,80,79,339
76,24,14,210
7,31,46,61
76,63,77,264
21,52,1,197
29,32,83,71
26,73,20,251
72,34,78,168
33,74,57,231
7,36,90,32
2,62,45,145
61,50,29,243
90,26,19,239
63,12,60,102
90,98,86,388
35,45,1,204
20,85,45,250
89,89,23,422
6,4,87,-63
73,37,43,214
66,57,35,268
38,20,5,131
89,61,22,339
83,15,75,136
61,77,55,298
44,10,88,30
79,10,63,125
66,68,62,274
51,48,75,171
49,92,47,327
19,42,49,115
33,70,39,237
15,21,77,16
20,76,37,231
18,83,22,263
9,95,38,265
40,62,96,170
57,8,89,49
95,5,38,167
30,21,53,70
53,34,12,196
12,2,24,6
65,66,68,260
100,38,48,266
45,32,25,161
76,20,77,135
69,45,54,219
32,46,33,169
80,46,37,261
25,17,74,27
75,70,3,357
20,91,52,261
71,43,25,246
57,55,6,273
84,42,29,265
2,88,67,201
53,85,7,354
76,96,1,439
27,35,17,142
13,19,2,81
94,37,13,286
75,27,96,135
84,21,93,138
34,54,76,154
37,45,2,207
13,69,71,162
32,24,100,36
3,42,47,85
90,78,44,370
68,80,62,314
53,89,32,341
50,4,40,72
94,4,17,183
44,34,80,110
73,100,51,395
38,85,94,237
23,37,69,88
21,46,85,95
27,45,38,151
45,43,99,120
52,70,56,258
54,6,29,97
2,63,66,127
25,95,43,292
32,65,53,206
66,40,94,158
45,93,14,355
86,57,21,322
2,49,51,100
16,65,8,219
61,32,29,189
47,57,97,168
50,52,40,216
77,61,25,312
48,77,61,266
1,52,57,101
72,74,64,302
70,69,67,280
87,90,55,389
26,86,36,274
44,48,51,181
30,9,67,20
18,88,27,273
18,62,78,144
72,62,18,312
25,68,66,188
33,47,21,186
77,61,2,335
29,28,22,120
98,89,47,416
19,30,93,35
17,30,23,101
39,84,71,259
18,85,25,266
29,8,63,19
60,89,16,371
10,51,5,168
35,24,71,71
20,8,11,53
46,15,75,62
77,45,37,252
27,4,29,37
54,91,52,329
24,34,36,114
79,76,88,298
36,62,25,233
94,16,89,147
5,20,41,29
79,36,58,208
92,33,20,263
80,82,14,392
48,14,91,47
65,49,2,275
65,52,85,201
65,47,85,186
46,52,17,231
58,63,88,217
47,11,73,54
42,1,76,11
92,56,87,265
17,59,26,185
70,18,35,159
57,44,16,230
62,42,80,170
84,24,52,188
39,100,76,302
29,21,11,110
64,31,93,128
60,62,47,259
56,10,60,82
15,100,45,285
75,21,39,174
18,9,70,-7
8,36,55,69
62,53,51,232
58,56,52,232
52,60,90,194
15,91,66,237
44,51,67,174
56,3,52,69
62,50,44,230
71,82,92,296
38,50,2,224
35,90,2,338
94,38,69,233
69,12,23,151
30,57,99,132
83,18,81,139
69,10,98,70
8,16,50,14
95,77,14,407
19,51,36,155
85,20,68,162
3,10,64,-28
62,75,96,253
16,32,8,120
90,78,98,316
48,83,20,325
88,17,67,160
57,63,62,241
38,76,49,255
97,96,54,428
60,56,12,276
80,74,31,351
47,48,62,176
49,16,65,81
82,35,45,224
30,65,5,250
21,60,81,141
31,9,34,55
81,40,71,211
46,81,92,243
46,62,3,275
49,66,32,264
46,70,28,274
70,44,55,217
98,92,18,454
84,47,4,305
95,88,35,419
22,59,54,167
93,51,48,291
94,4,34,166
20,89,9,298
24,12,69,15
70,19,68,129
77,63,99,244
42,64,48,228
65,52,20,266
27,64,75,171
15,15,88,-13
51,3,22,89
56,86,59,311
27,66,77,175
60,60,43,257
57,40,38,196
32,4,6,70
10,33,27,92
12,32,69,51
41,65,8,269
58,94,12,386
67,10,91,73
91,14,89,135
49,12,96,38
30,8,57,27
48,16,65,79
97,21,17,240
64,81,99,272
21,42,77,91
70,49,10,277
71,35,91,156
11,36,1,129
76,63,19,322
70,90,52,358
26,68,81,175
23,8,19,51
37,29,24,137
47,66,79,213
3,38,28,92
76,85,37,370
52,11,34,103
95,36,64,234
43,99,34,349
91,30,51,221
72,36,16,236
5,22,75,1
60,17,62,109
18,95,44,277
89,81,57,364
86,70,76,306
35,88,58,276
35,89,67,270
50,51,29,224
55,27,56,135
23,16,58,36
16,59,26,183
58,69,52,271
4,21,80,-9
33,74,12,276
69,69,13,332
46,41,81,134
89,83,82,345
86,31,57,208
42,26,10,152
95,11,67,156
78,13,82,113
4,26,47,39
84,84,95,325
76,9,97,82
2,39,73,48
100,37,93,218
91,90,26,426
79,43,65,222
21,97,2,331
68,56,24,280
5,36,36,82
93,19,82,161
73,39,52,211
80,27,15,226
96,2,15,183
48,25,87,84
91,48,57,269
51,27,77,106
94,83,37,400
40,11,98,15
92,81,85,342
82,74,9,377
11,36,14,116
71,56,30,280
47,11,68,59
83,48,75,235
15,89,96,201
61,85,77,300
47,14,67,69
84,78,85,317
13,31,60,59
77,20,67,147
73,55,21,290
99,75,45,378
4,94,61,229
70,98,84,350
24,27,62,67
96,89,23,436
47,92,59,311
6,8,98,-62
49,7,36,83
31,55,44,183
82,27,30,215
10,39,96,41
67,5,34,115
90,57,44,307
50,77,50,281
13,95,99,212
4,33,94,13
91,23,54,197
5,10,24,16
61,90,6,386
63,85,99,282
6,44,60,84
11,60,27,175
86,89,85,354
53,13,46,99
34,46,62,144
14,70,27,211
82,43,52,241
34,57,90,149
72,94,16,410
1,56,95,75
38,95,11,350
15,7,72,-21
77,71,44,323
76,69,33,326
61,10,51,101
72,66,77,265
52,42,95,135
13,44,36,122
33,19,21,102
10,24,46,46
79,52,17,297
6,96,83,217
21,95,28,299
89,15,94,129
44,16,19,117
95,33,99,190
92,56,89,263
1,11,30,5
61,43,97,154
72,41,32,235
91,27,50,213
4,86,81,185
49,31,60,131
88,15,72,149
71,80,53,329
79,58,49,283
25,36,89,69
10,89,98,189
64,27,10,199
14,31,53,68
99,92,53,421
96,38,100,206
65,12,24,142
50,11,51,82
16,68,4,232
99,2,82,122
66,99,46,383
39,17,10,119
90,33,7,272
97,23,42,221
14,31,57,64
31,93,16,325
12,36,83,49
25,58,25,199
28,16,59,45
58,79,74,279
37,66,3,269
17,69,14,227
65,25,23,182
22,13,98,-15
33,53,64,161
33,36,8,166
42,18,57,81
50,53,80,179
20,42,10,156
98,65,66,325
19,4,32,18
35,95,31,324
15,76,33,225
52,96,64,328
78,85,91,320
35,99,86,281
28,79,1,292
96,14,38,196
86,71,99,286
62,50,51,223
86,86,64,366
3,58,76,104
43,84,26,312
23,88,16,294
38,79,4,309
66,59,92,217
77,100,98,356
44,48,92,140
17,21,8,89
71,38,54,202
93,71,78,321
19,78,35,237
58,87,88,289
16,34,72,62
7,27,38,57
59,25,61,132
43,48,54,176
96,7,59,154
15,16,51,27
62,70,11,323
82,25,40,199
70,30,3,227
74,42,54,220
5,63,22,177
1,86,71,189
87,39,20,271
15,46,7,161
66,46,32,238
63,58,61,239
19,11,98,-27
62,62,29,281
93,22,6,246
62,64,57,259
10,22,96,-10
22,88,99,209
57,87,96,279
17,64,81,145
40,13,48,71
55,62,58,238
9,73,67,170
37,37,92,93
1,1,11,-6
34,91,6,335
35,97,59,302
26,45,39,148
2,5,42,-23
50,2,81,25
51,80,54,288
17,30,37,87
55,67,19,292
45,26,74,94
40,45,42,173
11,15,2,65
81,44,57,237
79,18,19,193
28,51,94,115
43,46,5,219
82,84,78,338
4,94,49,241
96,52,99,249
9,79,14,241
20,73,41,218
96,95,93,384
97,43,100,223
14,100,49,279
98,1,16,183
63,95,73,338
91,91,66,389
35,91,97,246
94,84,29,411
37,56,73,169
50,31,97,96
83,72,26,356
72,69,100,251
24,91,94,227
47,7,56,59
99,15,80,163
62,36,51,181
36,63,92,169
5,24,97,-15
55,55,46,229
87,36,33,249
28,94,21,317
34,1,36,35
10,68,54,170
48,48,78,162
75,66,37,311
65,98,99,325
76,80,27,365
93,25,16,245
79,40,73,205
49,55,94,169
43,65,99,182
48,20,96,60
94,52,24,320
72,33,93,150
39,94,5,355
32,24,2,134
81,52,83,235
97,34,19,277
49,46,68,168
22,41,79,88
59,47,31,228
25,64,7,235
90,67,63,318
41,82,92,236
24,10,80,-2
28,84,47,261
32,56,52,180
73,96,81,353
95,15,76,159
40,58,83,171
89,89,6,439
52,84,96,260
15,96,73,245
72,24,40,176
