x,y,a,b,c,result
36,y1,50,59,66,109
25,y1,27,15,86,27
49,y1,60,73,11,144
37,y1,9,46,79,55
46,y2,90,12,73,265
23,y2,29,18,59,58
32,y1,91,38,25,129
27,y2,89,5,97,178
47,y1,42,65,76,183
40,y1,100,95,94,289
50,y1,41,27,14,82
57,y1,48,34,99,181
28,y2,11,99,26,22
23,y2,17,67,75,34
36,y1,13,37,13,50
60,y1,73,73,81,227
36,y2,62,62,24,186
45,y1,90,14,26,130
31,y1,69,33,33,102
38,y2,86,28,56,200
36,y2,79,7,37,165
44,y1,66,88,75,229
26,y1,97,76,36,97
30,y2,15,4,77,34
40,y2,7,84,95,193
23,y2,52,49,52,104
59,y2,81,56,95,313
30,y1,36,7,32,43
37,y2,3,4,15,10
45,y1,5,24,21,50
41,y2,6,4,5,21
35,y1,21,56,59,77
27,y1,16,12,72,16
23,y2,89,93,62,178
23,y1,59,78,95,59
41,y1,7,14,47,68
28,y1,89,19,26,89
49,y2,41,9,38,129
56,y2,14,58,67,153
41,y2,96,50,48,290
40,y1,37,59,82,178
30,y1,34,36,48,70
21,y2,84,27,12,168
32,y1,59,64,69,123
45,y2,5,96,79,185
48,y2,31,2,21,85
58,y2,88,22,60,258
35,y2,54,8,88,116
35,y1,57,16,15,73
43,y1,72,77,27,176
22,y1,22,65,90,22
44,y2,75,64,34,248
40,y2,9,20,57,95
34,y2,53,1,24,107
41,y2,92,99,56,339
51,y1,47,39,99,185
21,y2,67,98,79,134
55,y1,58,23,76,157
60,y2,74,21,73,242
44,y2,61,25,69,216
29,y2,3,60,72,6
34,y1,8,84,14,92
54,y1,67,14,9,90
22,y1,87,56,28,87
32,y2,62,84,58,208
31,y1,43,56,91,99
45,y2,37,90,54,218
52,y1,44,32,34,110
22,y1,17,83,10,17
44,y1,29,51,4,84
20,y1,97,58,59,97
44,y1,23,36,29,88
34,y2,88,50,54,226
31,y2,73,1,19,147
38,y1,15,79,48,94
47,y2,24,58,81,187
53,y2,71,93,79,314
55,y2,83,50,34,250
57,y2,95,77,45,312
58,y1,86,38,89,213
51,y1,24,33,91,148
20,y1,39,22,55,39
57,y2,22,17,57,118
58,y2,37,57,70,201
51,y1,74,80,91,245
34,y1,60,55,50,115
26,y1,67,42,71,67
55,y1,61,77,4,142
52,y2,38,15,14,105
60,y1,7,100,63,170
35,y1,38,12,86,50
36,y2,54,38,6,146
53,y1,54,98,67,219
51,y2,90,67,45,292
32,y2,45,64,59,154
51,y1,53,47,23,123
21,y1,52,42,69,52
38,y2,88,42,97,218
26,y2,67,80,89,134
37,y1,44,47,7,91
37,y2,67,64,26,198
20,y1,51,100,88,51
25,y2,46,27,94,92
54,y2,31,2,57,121
29,y2,18,64,95,36
49,y1,72,86,8,166
22,y2,2,20,21,4
23,y1,23,16,30,23
35,y1,94,32,43,126
47,y2,75,33,14,197
43,y1,25,6,29,60
30,y2,48,46,70,142
28,y2,89,15,59,178
59,y1,51,26,53,130
42,y1,11,41,32,84
31,y1,60,70,99,130
29,y2,76,41,19,152
21,y2,95,64,80,190
24,y1,4,8,58,4
45,y2,33,26,82,174
27,y1,72,96,84,72
26,y2,79,13,25,158
52,y2,5,97,61,168
49,y2,63,75,22,223
56,y1,86,30,54,170
41,y2,14,86,34,148
57,y2,1,58,46,106
55,y2,1,48,17,67
26,y1,91,19,21,91
56,y1,81,37,55,173
26,y1,89,74,25,89
34,y2,88,99,19,275
55,y1,85,77,24,186
55,y1,14,24,33,71
37,y2,48,78,23,174
44,y1,85,3,15,103
59,y2,94,9,51,248
54,y1,60,32,61,153
44,y1,74,12,94,180
43,y2,61,13,76,211
32,y2,18,17,56,53
43,y1,63,7,1,71
57,y1,18,24,20,62
50,y1,61,81,31,173
40,y2,21,67,46,155
24,y2,45,98,79,90
34,y2,70,53,14,193
21,y2,37,60,53,74
29,y2,85,22,5,170
36,y2,56,70,29,182
59,y1,29,62,19,110
34,y1,99,19,47,118
55,y1,3,72,66,141
23,y2,14,98,20,28
36,y1,62,41,24,103
25,y2,79,81,55,158
54,y2,92,49,18,251
47,y1,82,82,82,246
31,y1,96,77,10,173
44,y1,58,49,13,120
50,y2,79,72,41,271
34,y1,20,34,64,54
21,y1,57,29,88,57
41,y2,67,38,92,264
25,y1,23,24,42,23
59,y1,5,10,65,80
27,y2,32,33,100,64
36,y1,49,70,28,119
38,y1,49,35,60,84
20,y1,54,81,26,54
52,y2,16,28,73,133
41,y2,57,69,9,192
25,y2,31,54,37,62
39,y1,10,6,68,16
55,y2,48,58,45,199
24,y1,29,91,24,29
20,y1,85,64,24,85
50,y1,93,34,91,218
48,y1,76,26,21,123
33,y1,85,15,2,100
27,y2,24,56,30,48
37,y2,100,43,13,243
41,y1,48,23,27,98
58,y1,45,4,16,65
22,y1,67,31,35,67
54,y1,28,98,26,152
55,y1,10,15,2,27
21,y2,56,22,31,112
35,y2,25,38,40,88
26,y2,5,13,44,10
52,y1,49,34,7,90
28,y1,74,89,70,74
39,y1,15,27,92,42
20,y1,14,22,60,14
37,y1,9,96,100,105
30,y2,91,28,48,210
39,y1,12,46,95,58
50,y2,89,84,20,282
26,y1,70,46,31,70
56,y2,5,45,49,104
34,y2,3,98,94,104
38,y1,82,26,78,108
53,y1,35,8,73,116
57,y2,44,22,54,164
49,y2,6,77,50,139
56,y2,77,15,32,201
39,y2,97,27,80,221
53,y1,54,67,92,213
34,y2,23,32,75,78
28,y2,43,34,67,86
26,y1,34,72,54,34
26,y1,66,40,73,66
20,y2,31,59,3,62
41,y2,10,82,37,139
56,y1,69,93,67,229
32,y2,83,31,63,197
22,y2,95,58,42,190
20,y1,93,10,28,93
36,y2,69,90,51,228
44,y1,97,3,74,174
45,y2,2,33,11,48
57,y1,77,68,54,199
21,y2,96,13,36,192
21,y2,3,91,29,6
26,y2,77,92,17,154
59,y1,21,27,33,81
52,y2,12,62,19,105
44,y1,70,75,11,156
51,y1,72,63,19,154
36,y1,82,21,60,103
47,y2,14,10,12,50
38,y1,86,52,25,138
21,y1,90,82,45,90
54,y2,57,17,84,215
22,y1,99,36,59,99
31,y1,18,16,43,34
46,y2,10,14,29,63
33,y2,65,52,94,182
42,y2,99,7,100,305
22,y1,7,48,24,7
22,y1,44,65,89,44
52,y2,18,92,38,166
59,y1,75,18,17,110
58,y1,33,32,84,149
40,y1,60,79,56,195
43,y1,72,25,72,169
37,y1,91,45,24,136
57,y2,80,17,9,186
53,y2,38,29,22,127
55,y1,94,67,64,225
22,y2,95,3,45,190
41,y2,12,70,63,157
40,y1,85,91,61,237
48,y2,18,26,12,74
47,y1,80,62,7,149
28,y1,9,69,17,9
35,y1,47,98,30,145
23,y2,33,41,45,66
56,y1,77,82,22,181
43,y1,92,91,34,217
36,y1,70,74,86,144
30,y2,62,94,26,218
20,y1,69,100,85,69
35,y2,40,38,20,118
45,y2,66,86,43,261
51,y2,79,56,89,303
51,y1,10,100,48,158
51,y1,33,10,22,65
43,y2,84,41,74,283
41,y2,52,43,39,186
27,y2,33,9,61,66
43,y1,28,99,27,154
37,y2,2,91,42,95
35,y1,63,9,98,72
56,y1,46,91,40,177
38,y1,91,91,42,182
38,y2,90,100,79,280
44,y1,20,78,19,117
20,y1,65,1,61,65
59,y2,43,65,48,199
24,y1,79,34,26,79
49,y1,58,81,99,238
41,y2,46,83,60,235
41,y1,69,79,12,160
33,y1,77,36,77,113
22,y2,68,46,83,136
50,y1,6,87,84,177
52,y2,28,14,30,100
60,y2,17,88,75,197
45,y1,55,37,28,120
32,y2,77,96,6,250
22,y2,6,47,2,12
55,y2,46,19,31,142
43,y1,31,26,50,107
50,y2,4,67,19,94
49,y2,42,94,30,208
23,y1,98,8,80,98
38,y2,15,76,76,106
56,y1,45,21,8,74
51,y1,95,97,78,270
35,y1,4,16,36,20
59,y2,38,32,77,185
57,y1,50,85,67,202
44,y2,29,62,11,131
35,y1,73,8,89,81
60,y1,71,39,50,160
45,y2,95,57,58,305
37,y2,19,21,91,59
29,y1,67,94,16,67
31,y1,87,28,78,115
21,y1,33,13,21,33
58,y1,70,24,88,182
51,y2,31,82,18,162
34,y1,3,44,90,47
49,y1,50,93,84,227
30,y1,18,97,93,115
25,y1,30,84,51,30
48,y1,40,63,89,192
51,y1,98,98,54,250
39,y1,90,2,84,92
49,y1,57,50,24,131
32,y1,50,39,3,89
46,y2,86,25,96,293
40,y1,58,5,35,98
45,y1,7,96,10,113
42,y2,46,92,34,218
31,y1,68,19,30,87
34,y1,16,44,29,60
57,y2,70,18,26,184
22,y1,56,13,76,56
58,y1,27,99,32,158
25,y1,55,93,45,55
52,y1,3,100,22,125
39,y2,75,92,23,242
52,y1,19,21,29,69
46,y1,24,62,92,178
46,y1,33,19,68,120
35,y1,42,100,45,142
51,y2,55,22,53,185
47,y1,47,72,21,140
21,y1,89,73,54,89
54,y2,40,96,78,254
28,y2,14,61,89,28
20,y2,47,36,39,94
48,y1,71,25,92,188
33,y2,16,38,16,70
25,y1,44,10,51,44
34,y1,91,25,28,116
22,y2,19,31,20,38
30,y2,93,98,59,284
20,y1,34,18,40,34
42,y1,4,28,54,86
20,y2,5,51,28,10
42,y2,47,64,78,236
54,y2,29,12,78,148
33,y2,42,53,10,137
29,y2,65,60,55,130
30,y2,78,6,7,162
44,y1,47,65,61,173
49,y2,12,35,55,114
32,y1,55,34,73,89
48,y1,23,10,3,36
51,y1,88,1,10,99
24,y2,39,12,36,78
52,y2,39,56,92,226
36,y2,46,84,16,176
41,y1,58,7,39,104
27,y1,34,76,56,34
40,y2,13,67,29,122
52,y2,13,49,81,156
45,y1,40,8,84,132
39,y1,98,73,80,171
23,y1,89,68,38,89
52,y2,9,32,95,145
41,y2,54,53,88,249
29,y1,33,23,76,33
56,y2,16,21,17,70
32,y1,23,40,49,63
31,y1,63,8,87,71
30,y2,5,54,13,64
48,y1,10,69,43,122
29,y1,1,84,18,1
50,y2,87,88,85,347
59,y2,42,88,12,184
50,y1,70,40,30,140
51,y2,58,66,54,236
59,y1,23,26,40,89
58,y2,21,41,51,134
30,y2,75,29,24,179
48,y2,6,24,86,122
37,y1,59,88,35,147
39,y1,83,88,75,171
40,y2,78,4,92,252
21,y2,17,82,71,34
22,y2,88,26,27,176
51,y1,36,17,3,56
29,y2,59,67,2,118
24,y1,72,41,11,72
25,y2,13,94,53,26
31,y1,55,38,70,93
40,y2,42,6,26,116
43,y2,54,67,54,229
25,y2,2,26,70,4
49,y2,51,81,94,277
59,y1,89,58,21,168
48,y1,5,64,59,128
25,y2,66,88,94,132
28,y2,60,41,73,120
33,y2,31,49,11,111
22,y1,91,26,44,91
46,y2,3,24,92,122
45,y1,63,16,96,175
56,y2,94,12,100,300
28,y2,26,7,47,52
47,y2,86,12,2,186
42,y1,100,74,95,269
26,y2,74,88,54,148
55,y2,25,56,8,114
36,y1,13,49,32,62
51,y1,19,10,34,63
55,y1,75,74,75,224
44,y2,30,2,37,99
21,y1,33,51,17,33
23,y2,6,53,55,12
45,y2,48,16,53,165
60,y2,14,88,67,183
41,y1,38,19,90,147
53,y1,86,23,54,163
24,y2,87,12,100,174
46,y2,78,33,54,243
30,y1,17,73,57,90
51,y2,3,26,5,37
57,y2,26,88,79,219
22,y1,98,34,63,98
45,y1,59,35,34,128
30,y1,45,83,49,128
41,y2,94,7,29,224
60,y2,34,12,86,166
60,y2,31,19,54,135
39,y2,44,61,30,149
53,y1,30,40,32,102
24,y1,43,85,40,43
26,y1,41,12,43,41
25,y1,43,4,11,43
52,y2,57,64,91,269
35,y1,47,39,77,86
31,y2,5,61,26,71
31,y2,60,70,83,190
33,y1,76,9,88,85
49,y1,10,82,1,93
28,y2,60,60,46,120
25,y1,62,3,79,62
43,y1,61,13,38,112
24,y2,95,26,10,190
30,y2,33,32,18,98
38,y1,27,71,94,98
20,y2,74,50,52,148
46,y2,98,5,14,215
51,y2,36,11,70,153
50,y1,73,11,49,133
24,y1,63,34,81,63
31,y1,7,95,21,102
45,y2,50,52,85,237
48,y1,100,31,54,185
55,y1,67,71,55,193
48,y1,82,31,61,174
36,y2,92,64,70,248
39,y1,62,78,62,140
55,y2,75,54,23,227
49,y2,79,14,7,179
27,y1,99,43,22,99
52,y2,71,90,99,331
57,y2,13,72,86,184
58,y1,96,56,91,243
30,y1,31,62,63,93
54,y2,1,50,27,79
32,y2,77,81,89,235
25,y2,79,37,26,158
42,y2,24,30,57,135
36,y1,4,58,59,62
33,y1,75,5,12,80
34,y2,68,10,93,146
36,y1,32,58,61,90
37,y2,57,66,39,180
59,y1,99,30,66,195
38,y2,61,94,91,216
58,y1,6,67,31,104
38,y1,65,47,45,112
39,y2,40,32,19,112
26,y2,55,71,51,110
47,y2,25,65,19,134
31,y2,45,2,19,92
43,y1,29,85,49,163
60,y2,42,52,25,161
32,y1,8,25,72,33
30,y2,15,16,77,46
47,y2,12,23,23,70
37,y1,1,55,40,56
36,y1,73,9,2,82
23,y2,13,98,82,26
23,y2,15,99,93,30
23,y1,5,86,48,5
30,y2,34,26,100,94
28,y1,95,25,76,95
39,y2,49,58,49,156
51,y2,98,51,62,309
57,y1,54,48,7,109
29,y2,97,68,24,194
20,y1,50,3,88,50
39,y1,86,1,12,87
24,y2,15,41,33,30
35,y1,59,64,90,123
39,y1,2,58,57,60
26,y2,11,15,27,22
24,y2,89,4,92,178
22,y1,71,49,94,71
50,y1,31,8,23,62
53,y2,40,64,6,150
28,y1,78,88,56,78
34,y2,52,40,56,144
52,y2,11,93,30,145
44,y2,60,62,44,226
49,y2,60,96,34,250
24,y2,77,24,59,154
43,y1,95,88,18,201
48,y2,7,3,76,93
39,y1,28,34,83,62
47,y1,83,51,61,195
58,y1,95,81,18,194
39,y1,87,84,64,171
57,y2,37,70,42,186
49,y2,4,93,65,166
30,y2,27,19,17,73
48,y1,8,25,61,94
57,y2,14,57,54,139
20,y1,21,69,70,21
46,y2,36,99,40,211
36,y2,24,41,47,89
24,y1,8,6,38,8
44,y1,96,53,95,244
39,y1,36,95,48,131
41,y2,19,2,20,60
20,y2,26,71,52,52
54,y1,2,34,46,82
22,y1,72,71,9,72
26,y2,77,59,74,154
25,y2,14,77,79,28
23,y2,15,46,86,30
37,y1,62,6,6,68
56,y2,68,79,66,281
54,y1,40,87,1,128
24,y2,9,46,64,18
35,y1,60,39,87,99
58,y2,100,29,50,279
28,y1,89,90,9,89
20,y1,72,13,35,72
52,y2,19,38,32,108
57,y2,68,70,86,292
60,y1,19,35,12,66
57,y1,61,78,49,188
57,y1,4,91,1,96
36,y2,48,87,37,183
33,y2,24,35,31,83
30,y1,98,55,30,153
55,y1,79,88,85,252
27,y1,33,46,22,33
22,y1,45,9,10,45
50,y1,17,95,96,208
26,y1,14,73,77,14
27,y1,80,17,1,80
35,y1,84,2,92,86
54,y2,13,40,50,116
28,y2,87,58,29,174
35,y1,77,64,70,141
29,y1,49,54,56,49
52,y2,27,52,50,156
29,y1,43,87,60,43
57,y1,91,74,77,242
45,y1,2,13,52,67
49,y1,52,61,89,202
47,y1,71,45,56,172
47,y2,46,4,4,100
36,y2,26,88,20,140
59,y1,50,40,67,157
42,y2,9,33,29,80
56,y2,1,33,93,128
39,y2,18,62,41,98
36,y2,40,97,71,177
29,y1,67,71,65,67
31,y1,57,40,53,97
48,y2,51,27,43,172
53,y2,46,82,2,176
20,y2,40,89,37,80
54,y2,59,31,100,249
53,y2,85,67,52,289
47,y2,51,89,23,214
47,y1,29,93,44,166
35,y2,71,85,35,227
57,y1,28,54,64,146
60,y1,95,100,67,262
46,y2,31,15,37,114
28,y2,62,14,6,124
46,y1,25,34,99,158
58,y1,80,48,47,175
25,y2,20,24,36,40
49,y1,72,19,98,189
55,y1,70,75,96,241
60,y2,96,5,52,249
53,y2,10,68,28,116
57,y2,92,16,20,220
27,y2,95,87,11,190
57,y2,3,60,71,137
43,y1,13,52,99,164
32,y2,51,72,85,174
34,y1,29,69,43,98
23,y1,35,45,91,35
60,y1,95,54,70,219
34,y1,85,45,44,130
30,y1,65,20,57,85
45,y1,94,48,55,197
20,y2,15,100,89,30
49,y2,80,22,9,191
37,y1,18,90,35,108
47,y1,69,63,5,137
33,y2,68,80,2,216
23,y2,30,76,14,60
59,y2,29,53,43,154
45,y1,35,82,29,146
24,y2,55,78,73,110
36,y1,26,64,74,90
48,y2,81,51,43,256
34,y1,27,27,28,54
46,y2,47,53,46,193
34,y2,73,20,95,166
48,y1,14,11,14,39
50,y2,2,70,35,109
24,y2,34,46,86,68
25,y2,48,15,9,96
54,y1,99,64,98,261
57,y1,57,98,43,198
58,y1,44,62,10,116
49,y1,29,80,15,124
22,y2,52,40,22,104
28,y1,18,21,67,18
47,y1,100,17,68,185
