x,a,b,c,result
29,42,86,15,42
53,82,8,99,189
30,12,95,62,107
50,94,20,29,143
20,72,63,94,72
59,85,96,98,279
60,1,33,1,35
46,23,50,18,91
54,63,100,84,247
50,37,61,98,196
55,87,11,61,159
23,26,10,94,26
27,18,81,55,18
33,7,25,70,32
28,56,75,67,56
46,72,42,15,129
47,42,6,80,128
57,98,95,65,258
55,82,89,48,219
49,38,53,38,129
33,93,93,13,186
40,21,91,46,158
47,87,85,20,192
33,21,62,87,83
24,33,86,75,33
55,7,53,48,108
53,46,58,5,109
28,60,21,66,60
52,65,7,68,140
47,82,64,3,149
48,3,64,98,165
59,44,2,32,78
59,90,40,88,218
43,4,8,27,39
43,96,9,86,191
30,69,75,26,144
47,57,32,45,134
47,74,98,35,207
53,97,78,11,186
22,39,67,30,39
55,94,5,85,184
56,18,72,40,130
50,80,11,91,182
32,57,46,17,103
34,10,97,32,107
49,5,84,62,151
20,14,47,42,14
37,52,57,28,109
59,31,83,57,171
49,78,85,80,243
46,62,89,45,196
52,24,31,47,102
37,99,27,76,126
31,87,22,60,109
41,32,21,46,99
60,17,31,70,118
21,20,49,38,20
46,1,32,38,71
45,49,95,32,176
48,8,5,64,77
41,99,14,1,114
52,52,4,14,70
33,76,35,17,111
46,8,72,18,98
39,11,9,95,20
52,30,34,53,117
47,96,90,17,203
45,47,22,59,128
40,24,73,81,178
42,59,8,80,147
48,51,26,70,147
27,59,65,11,59
34,90,47,67,137
53,99,72,15,186
42,35,64,60,159
31,56,63,84,119
58,60,89,36,185
52,1,17,31,49
42,36,84,23,143
34,53,81,37,134
58,44,82,99,225
46,96,48,27,171
42,38,37,98,173
52,84,5,62,151
34,55,16,48,71
33,83,63,28,146
20,23,74,80,23
29,50,99,88,50
21,32,71,83,32
44,17,56,24,97
56,41,85,7,133
46,7,5,87,99
22,42,52,10,42
48,90,32,31,153
45,76,37,5,118
58,53,45,79,177
24,63,30,92,63
53,18,8,65,91
57,92,72,76,240
20,45,17,16,45
35,26,74,11,100
54,31,83,14,128
59,23,98,79,200
31,57,8,70,65
33,67,89,38,156
56,93,91,83,267
28,7,93,20,7
34,25,32,83,57
51,80,24,4,108
41,18,28,25,71
52,44,16,6,66
23,45,28,96,45
48,48,2,68,118
24,99,79,83,99
58,73,26,35,134
40,59,81,28,168
33,19,30,4,49
22,44,60,30,44
33,8,49,44,57
47,22,77,96,195
30,76,51,67,127
57,100,60,58,218
25,83,31,63,83
54,9,69,44,122
21,82,66,15,82
36,75,18,75,93
50,69,38,85,192
50,58,74,95,227
59,34,43,45,122
24,30,92,65,30
50,9,37,40,86
42,64,26,90,180
21,99,54,60,99
29,18,98,57,18
40,81,73,100,254
52,86,38,46,170
37,21,33,73,54
37,38,80,41,118
31,21,2,60,23
30,11,43,14,54
22,36,69,3,36
26,47,44,96,47
24,100,37,6,100
55,87,66,82,235
22,79,12,74,79
45,13,49,33,95
54,25,8,18,51
60,20,14,3,37
37,77,10,66,87
44,100,100,93,293
22,88,6,54,88
39,84,32,58,116
56,91,21,34,146
30,90,52,9,142
59,15,49,40,104
41,20,59,37,116
31,100,24,58,124
48,85,52,83,220
54,62,92,98,252
56,79,14,76,169
30,83,84,30,167
53,14,93,71,178
20,68,65,5,68
46,79,95,50,224
49,3,45,79,127
50,46,15,4,65
25,38,45,46,38
41,34,34,65,133
54,71,48,42,161
26,92,58,71,92
30,30,2,60,32
56,51,75,1,127
59,59,35,66,160
48,71,82,60,213
32,29,16,92,45
29,70,32,21,70
38,71,82,26,153
23,80,98,39,80
45,71,93,84,248
30,51,60,73,111
50,60,48,26,134
54,30,89,64,183
39,47,53,70,100
54,43,12,46,101
54,50,60,5,115
45,47,23,61,131
33,79,38,32,117
40,51,56,67,174
27,3,13,40,3
52,24,40,97,161
58,34,30,42,106
47,22,94,99,215
37,41,24,6,65
42,52,52,67,171
50,53,65,43,161
21,68,81,66,68
43,9,99,4,112
26,43,81,8,43
28,55,20,94,55
37,18,5,84,23
46,7,65,67,139
29,64,80,58,64
49,22,17,5,44
36,45,8,43,53
41,80,92,15,187
26,29,16,4,29
23,16,42,97,16
45,2,22,26,50
34,63,93,49,156
22,81,50,38,81
21,78,90,77,78
53,38,3,10,51
30,50,28,81,78
41,70,22,29,121
50,13,28,16,57
32,35,34,53,69
37,68,34,1,102
52,73,97,67,237
39,40,31,69,71
57,89,67,96,252
25,82,70,43,82
36,32,20,92,52
40,50,5,25,80
37,73,2,11,75
38,88,53,27,141
57,53,69,83,205
34,10,14,54,24
44,52,92,22,166
48,24,66,58,148
51,29,5,25,59
43,86,27,73,186
24,52,16,49,52
53,74,61,55,190
45,37,42,38,117
24,40,57,91,40
50,30,37,8,75
55,100,42,65,207
37,62,94,6,156
56,3,26,39,68
55,15,93,17,125
54,95,91,54,240
22,33,99,32,33
45,21,23,44,88
33,100,81,81,181
22,96,23,29,96
27,64,85,50,64
56,69,96,30,195
30,86,12,10,98
34,64,87,98,151
55,15,82,100,197
22,53,12,22,53
20,27,52,32,27
59,26,64,49,139
24,3,1,93,3
48,9,43,61,113
48,16,86,78,180
38,41,23,95,64
33,100,85,52,185
57,10,66,37,113
31,78,2,80,80
38,20,18,27,38
60,65,96,95,256
32,36,20,58,56
21,94,75,57,94
42,50,63,39,152
46,83,28,40,151
58,80,4,12,96
51,6,41,67,114
35,62,40,73,102
40,42,83,92,217
50,33,49,81,163
34,87,15,80,102
55,51,12,32,95
60,86,99,62,247
37,90,99,16,189
52,68,99,42,209
52,83,70,84,237
60,11,19,15,45
59,89,48,14,151
31,82,15,16,97
45,11,21,80,112
26,61,52,53,61
22,14,51,5,14
60,95,95,3,193
59,2,17,60,79
60,82,8,64,154
43,1,70,14,85
42,29,65,2,96
55,25,26,78,129
25,44,57,51,44
26,85,34,43,85
49,76,30,13,119
41,85,67,16,168
53,18,4,71,93
45,61,69,50,180
60,87,86,56,229
31,34,5,17,39
34,25,58,1,83
30,93,86,98,179
47,19,22,60,101
29,79,63,52,79
25,66,64,12,66
57,71,92,61,224
52,50,56,20,126
24,30,99,2,30
28,75,70,80,75
40,63,53,17,133
46,88,47,88,223
37,92,15,46,107
52,84,14,50,148
53,57,30,69,156
49,28,25,28,81
31,79,100,28,179
30,80,37,65,117
34,31,94,58,125
45,6,51,60,117
34,89,45,65,134
23,28,34,6,28
38,74,84,70,158
34,72,32,88,104
31,83,50,3,133
35,63,36,21,99
60,52,4,79,135
39,13,19,87,32
29,57,4,38,57
29,87,86,57,87
37,100,70,57,170
60,5,85,10,100
40,76,89,85,250
29,88,69,51,88
44,49,45,52,146
59,28,27,38,93
50,93,2,19,114
53,44,7,70,121
29,46,64,28,46
53,52,30,69,151
39,75,87,48,162
46,51,30,85,166
51,67,33,87,187
59,44,51,17,112
43,53,12,36,101
26,56,31,5,56
43,49,81,73,203
60,100,80,13,193
35,88,6,49,94
25,65,3,53,65
47,22,29,1,52
49,88,86,90,264
30,14,54,67,68
51,61,64,56,181
57,82,12,68,162
60,26,7,14,47
60,90,2,26,118
58,92,3,8,103
39,19,30,75,49
34,90,72,28,162
42,95,51,78,224
40,36,95,66,197
32,89,15,92,104
34,61,98,81,159
47,43,17,60,120
40,19,12,84,115
55,23,38,88,149
54,43,73,16,132
50,20,6,83,109
53,89,43,59,191
32,61,4,99,65
37,63,51,6,114
60,71,97,64,232
40,87,61,25,173
46,57,13,49,119
60,56,83,67,206
60,93,83,26,202
35,3,86,77,89
41,60,12,63,135
30,40,38,59,78
27,16,47,91,16
56,7,69,38,114
40,31,4,29,64
25,4,76,97,4
43,78,49,3,130
52,36,65,81,182
52,48,89,100,237
57,17,36,66,119
21,81,99,64,81
22,99,67,23,99
50,61,39,71,171
30,13,19,94,32
31,54,13,12,67
47,21,70,85,176
48,57,60,44,161
22,30,62,85,30
59,9,3,37,49
51,16,78,19,113
43,12,98,6,116
53,28,17,1,46
34,67,84,50,151
39,83,80,5,163
29,45,53,70,45
53,10,52,36,98
37,59,29,60,88
30,63,85,47,148
35,5,60,24,65
29,1,43,27,1
55,53,70,2,125
60,14,85,18,117
31,45,45,20,90
55,99,34,1,134
46,68,98,89,255
44,58,19,56,133
43,87,16,96,199
33,65,100,34,165
53,17,56,50,123
54,73,52,83,208
30,85,5,94,90
49,59,69,21,149
52,27,48,67,142
21,1,22,48,1
20,95,57,33,95
26,59,39,59,59
28,65,12,25,65
47,4,40,12,56
55,87,49,26,162
52,37,3,1,41
28,72,84,32,72
22,74,26,93,74
22,70,100,95,70
57,6,70,6,82
24,62,45,56,62
44,94,78,76,248
31,62,34,3,96
45,75,83,40,198
20,80,24,67,80
32,35,91,88,126
42,76,1,10,87
33,85,100,39,185
47,54,16,40,110
55,97,20,55,172
32,38,72,50,110
22,57,37,58,57
47,42,51,86,179
54,45,16,24,85
52,10,75,87,172
58,94,57,54,205
36,65,93,11,158
25,4,27,98,4
26,38,78,2,38
47,62,97,20,179
48,89,21,87,197
53,21,8,28,57
59,93,72,65,230
43,78,64,21,163
50,47,47,5,99
31,12,35,51,47
43,60,72,2,134
29,30,2,53,30
47,39,52,22,113
45,27,38,96,161
23,70,94,5,70
37,68,51,65,119
59,95,69,18,182
50,52,84,92,228
29,54,78,7,54
38,43,17,25,60
54,67,2,75,144
38,26,86,30,112
24,92,14,98,92
38,27,80,30,107
50,3,44,73,120
45,24,76,27,127
29,19,27,89,19
26,61,22,38,61
52,60,48,90,198
22,4,54,56,4
38,58,56,93,114
51,76,53,39,168
29,53,21,44,53
29,20,54,21,20
58,59,82,53,194
41,29,50,35,114
45,54,2,6,62
52,35,78,31,144
29,94,92,77,94
46,52,21,71,144
25,16,84,2,16
33,65,43,39,108
60,67,18,89,174
53,28,95,66,189
44,43,9,67,119
42,84,97,45,226
60,75,41,80,196
39,63,4,44,67
33,52,56,6,108
48,1,16,68,85
42,75,66,57,198
39,94,94,57,188
49,12,36,8,56
43,23,95,27,145
39,22,5,84,27
22,35,5,19,35
24,12,54,27,12
36,39,4,99,43
39,81,60,71,141
35,19,67,57,86
39,14,11,34,25
21,75,52,97,75
29,96,46,93,96
56,15,61,87,163
38,56,44,39,100
48,72,87,43,202
43,2,24,92,118
41,99,62,48,209
28,22,84,43,22
56,67,82,75,224
52,85,89,25,199
31,82,48,51,130
41,13,7,32,52
22,61,46,77,61
26,46,89,91,46
50,48,56,33,137
35,60,52,6,112
58,1,67,56,124
25,5,31,39,5
32,76,2,49,78
38,1,35,50,36
58,80,9,37,126
57,45,17,12,74
46,26,23,100,149
34,97,50,89,147
34,77,68,49,145
23,28,67,95,28
36,59,1,9,60
25,20,77,76,20
26,34,57,99,34
34,18,78,20,96
53,80,84,64,228
26,69,44,75,69
32,94,85,44,179
42,93,66,35,194
28,96,79,14,96
26,19,42,20,19
48,81,56,17,154
20,9,67,100,9
52,14,2,25,41
29,58,87,73,58
58,82,81,30,193
30,17,58,23,75
55,19,33,54,106
34,34,71,9,105
47,18,17,43,78
40,54,83,97,234
36,76,2,95,78
21,54,55,74,54
59,96,92,65,253
45,100,73,50,223
51,1,58,88,147
36,67,4,42,71
32,26,6,58,32
24,77,51,49,77
54,44,10,93,147
59,25,19,100,144
44,78,15,84,177
34,67,28,74,95
60,84,32,67,183
50,66,67,66,199
57,46,31,32,109
32,39,38,99,77
35,1,88,37,89
30,26,91,90,117
59,71,74,43,188
60,82,8,41,131
21,81,58,70,81
25,34,60,36,34
52,10,40,62,112
49,93,66,59,218
43,62,85,80,227
56,58,45,8,111
59,13,66,65,144
40,11,22,30,63
47,11,80,64,155
34,76,84,4,160
50,87,4,41,132
30,10,22,51,32
47,37,60,92,189
41,65,31,12,108
38,76,42,9,118
41,88,51,68,207
55,94,3,13,110
29,96,92,58,96
55,20,87,40,147
30,83,99,85,182
41,74,30,66,170
55,50,79,39,168
45,3,70,7,80
32,84,67,73,151
40,50,24,72,146
30,45,28,36,73
53,62,43,38,143
57,40,25,22,87
38,93,23,18,116
27,86,26,40,86
41,13,18,68,99
31,61,91,34,152
32,1,66,40,67
54,43,100,64,207
25,55,44,51,55
58,77,19,92,188
36,99,95,57,194
51,70,14,18,102
51,9,73,71,153
30,54,67,85,121
47,100,82,49,231
60,51,74,12,137
52,19,68,22,109
46,34,22,53,109
46,19,12,45,76
41,37,1,100,138
45,62,77,18,157
40,99,84,77,260
25,46,7,17,46
46,71,34,63,168
24,47,56,96,47
60,22,75,30,127
51,9,52,76,137
24,73,94,53,73
42,10,76,73,159
57,25,85,5,115
54,55,84,79,218
50,100,23,93,216
26,80,47,28,80
25,4,94,79,4
20,36,97,74,36
33,85,57,18,142
53,36,54,86,176
28,96,15,47,96
35,66,10,44,76
37,99,45,49,144
25,26,77,44,26
27,66,45,100,66
53,64,59,10,133
60,5,5,78,88
40,71,18,89,178
49,33,94,19,146
52,86,63,64,213
20,78,49,22,78
29,48,13,53,48
33,49,93,56,142
53,95,54,35,184
48,30,68,42,140
33,75,44,88,119
32,53,40,74,93
45,43,67,58,168
20,21,31,82,21
30,2,79,76,81
44,52,60,16,128
39,49,43,52,92
24,31,23,93,31
40,94,62,45,201
26,10,62,20,10
41,93,91,29,213
37,94,53,88,147
44,66,71,91,228
50,79,35,96,210
40,46,42,62,150
24,31,49,65,31
52,78,65,16,159
44,28,67,32,127
30,56,13,34,69
20,29,62,59,29
58,31,77,70,178
44,88,48,16,152
23,76,50,64,76
56,31,73,42,146
47,61,90,85,236
50,87,24,89,200
30,52,79,39,131
46,29,85,21,135
33,20,61,67,81
21,7,26,20,7
48,40,50,19,109
51,49,39,60,148
22,49,96,51,49
47,88,7,57,152
49,31,59,23,113
33,63,18,96,81
30,47,25,36,72
34,53,7,85,60
20,15,50,99,15
60,9,45,48,102
22,82,29,46,82
55,83,51,62,196
20,84,46,100,84
50,63,84,36,183
46,55,94,85,234
38,92,49,98,141
42,87,81,20,188
57,23,76,28,127
56,86,22,100,208
29,30,30,35,30
46,56,28,53,137
25,6,93,86,6
57,15,92,22,129
30,50,80,29,130
39,39,59,98,98
49,70,17,80,167
32,88,84,21,172
57,7,22,88,117
33,49,85,80,134
47,96,3,12,111
32,75,98,6,173
46,10,84,72,166
27,61,5,7,61
39,51,48,53,99
34,29,75,31,104
31,57,10,46,67
20,5,8,33,5
30,27,65,40,92
47,32,66,4,102
25,42,2,73,42
30,3,65,60,68
23,77,41,87,77
27,67,18,28,67
51,92,23,27,142
26,7,80,93,7
47,72,62,2,136
49,11,58,30,99
37,47,47,42,94
53,43,91,31,165
30,69,75,82,144
52,45,46,69,160
24,9,87,19,9
50,68,89,42,199
22,100,99,23,100
59,93,58,6,157
28,80,91,54,80
36,75,32,92,107
52,13,98,14,125
21,64,99,70,64
41,35,86,88,209
47,61,29,28,118
30,72,68,54,140
57,77,36,33,146
33,36,52,3,88
41,92,66,50,208
57,37,65,72,174
48,29,58,88,175
50,60,29,33,122
21,35,95,66,35
45,23,23,35,81
51,18,36,18,72
57,3,31,91,125
39,94,38,40,132
53,25,73,20,118
24,2,46,62,2
40,11,73,50,134
50,78,15,78,171
39,71,11,12,82
48,39,26,50,115
23,100,76,83,100
43,42,1,93,136
38,59,94,73,153
44,34,37,96,167
33,45,89,59,134
54,14,1,2,17
30,31,3,73,34
37,77,81,41,158
49,35,39,35,109
37,31,39,68,70
30,51,44,73,95
29,29,21,17,29
39,57,73,31,130
32,12,15,99,27
23,6,11,25,6
47,49,35,86,170
23,55,33,39,55
42,26,53,4,83
30,95,92,90,187
28,79,10,5,79
22,95,67,74,95
52,59,5,6,70
27,4,2,1,4
33,57,22,62,79
42,92,11,22,125
52,42,57,51,150
42,50,67,18,135
43,59,14,26,99
44,44,27,67,138
32,5,5,70,10
24,69,66,1,69
32,100,97,94,197
55,84,96,13,193
32,58,7,10,65
54,26,73,84,183
43,81,11,69,161
58,35,5,5,45
60,56,13,85,154
49,63,91,36,190
43,58,15,94,167
43,47,98,96,241
40,36,1,11,48
48,59,77,59,195
52,53,17,1,71
30,57,64,100,121
20,2,29,9,2
49,64,6,38,108
41,45,92,12,149
40,84,53,85,222
55,28,66,92,186
40,6,62,53,121
55,90,23,83,196
20,54,38,74,54
44,47,35,51,133
59,51,53,65,169
34,8,70,1,78
40,17,13,55,85
57,89,93,58,240
49,45,47,43,135
52,30,47,9,86
32,63,99,2,162
45,29,4,84,117
28,71,7,82,71
54,49,61,56,166
45,41,57,15,113
21,59,89,58,59
50,94,3,83,180
42,23,10,4,37
20,34,28,72,34
53,23,93,20,136
30,75,92,84,167
38,64,54,73,118
23,55,4,87,55
57,6,100,76,182
28,2,65,48,2
36,73,54,21,127
33,97,25,64,122
26,65,66,51,65
51,37,7,44,88
49,40,91,5,136
38,31,95,49,126
47,75,40,9,124
59,61,46,3,110
24,33,5,90,33
51,8,56,14,78
39,62,93,55,155
22,74,90,16,74
44,25,53,100,178
38,59,37,40,96
22,73,41,47,73
23,15,69,8,15
59,47,27,96,170
30,18,54,49,72
35,99,33,20,132
27,1,42,15,1
45,15,52,66,133
23,40,42,49,40
36,48,75,54,123
20,86,16,12,86
34,76,69,44,145
24,14,3,34,14
58,25,69,16,110
33,27,51,13,78
44,23,25,99,147
55,20,9,98,127
42,10,18,91,119
42,39,9,41,89
58,36,24,13,73
42,25,24,49,98
54,73,67,9,149
33,14,85,49,99
56,89,20,34,143
50,12,15,12,39
29,34,62,54,34
48,46,11,81,138
35,91,12,81,103
41,42,99,86,227
60,43,85,4,132
46,99,63,35,197
49,94,91,58,243
40,85,48,42,175
52,36,68,98,202
39,86,65,97,151
45,74,47,39,160
58,16,72,97,185
24,66,55,83,66
36,1,46,66,47
33,37,66,43,103
44,27,11,79,117
28,100,8,56,100
26,83,83,76,83
36,21,94,65,115
58,94,80,75,249
27,85,100,51,85
58,60,47,13,120
24,96,84,17,96
31,86,67,91,153
35,86,17,12,103
55,16,7,84,107
21,59,47,36,59
22,96,45,82,96
43,55,14,66,135
46,87,20,59,166
47,63,57,69,189
21,6,70,60,6
40,81,52,63,196
42,87,81,51,219
51,73,73,17,163
52,69,64,23,156
46,20,90,66,176
28,98,93,39,98
53,84,76,19,179
32,26,1,41,27
29,55,25,83,55
34,48,11,99,59
32,17,12,62,29
35,3,82,60,85
49,46,33,48,127
56,93,64,27,184
26,59,33,84,59
59,29,97,49,175
33,30,25,32,55
38,39,4,52,43
28,3,95,75,3
50,81,88,99,268
20,5,93,91,5
26,84,51,21,84
49,1,89,45,135
23,80,83,59,80
54,64,64,48,176
33,71,4,5,75
57,87,56,58,201
57,60,19,70,149
54,59,45,70,174
22,63,54,89,63
43,77,46,22,145
25,98,67,55,98
56,64,77,79,220
29,35,71,85,35
30,50,66,44,116
36,37,51,68,88
33,73,39,2,112
51,34,82,96,212
31,50,24,74,74
38,44,91,94,135
60,7,29,37,73
33,7,66,62,73
49,98,38,30,166
60,48,25,90,163
45,93,43,21,157
25,76,87,75,76
45,38,75,71,184
32,45,16,12,61
20,61,33,50,61
27,28,18,25,28
28,6,66,77,6
50,81,91,2,174
30,43,68,15,111
30,72,54,25,126
46,33,76,59,168
23,41,43,91,41
23,6,7,61,6
51,61,62,31,154
22,68,6,66,68
35,75,68,4,143
50,29,89,73,191
46,38,38,75,151
51,23,54,90,167
23,14,100,75,14
44,85,26,51,162
51,77,63,47,187
51,77,68,80,225
45,44,69,89,202
51,54,61,58,173
29,30,72,23,30
29,34,95,9,34
27,42,79,35,42
42,87,66,45,198
44,50,89,89,228
42,73,15,96,184
32,50,57,12,107
48,72,96,94,262
49,5,56,93,154
51,76,1,96,173
33,49,50,38,99
31,37,8,12,45
42,61,86,29,176
50,87,98,20,205
30,25,51,37,76
58,52,14,13,79
21,38,82,93,38
24,13,42,78,13
53,14,9,15,38
57,11,48,43,102
60,91,61,69,221
26,36,32,76,36
31,10,42,21,52
21,91,91,100,91
34,72,8,24,80
37,12,22,80,34
56,79,33,39,151
40,58,84,42,184
59,59,24,27,110
39,8,3,85,11
25,91,15,34,91
21,29,18,49,29
25,37,51,15,37
31,40,98,89,138
49,11,32,20,63
22,19,39,32,19
38,5,83,21,88
27,3,21,33,3
47,38,39,8,85
43,4,13,1,18
56,73,91,62,226
32,80,35,33,115
52,47,41,56,144
38,96,11,53,107
46,36,71,49,156
32,24,44,5,68
50,29,19,18,66
22,33,58,91,33
40,89,29,37,155
53,70,47,97,214
56,75,42,18,135
55,13,82,50,145
34,40,41,34,81
38,38,63,95,101
42,59,50,85,194
24,77,16,56,77
30,38,97,64,135
44,79,26,89,194
38,32,35,6,67
26,79,24,55,79
53,41,18,50,109
57,64,10,92,166
32,31,64,34,95
22,72,3,29,72
31,90,84,54,174
41,39,88,28,155
52,34,64,78,176
52,28,31,46,105
49,26,89,44,159
60,7,67,27,101
24,70,71,95,70
43,81,60,98,239
29,23,19,67,23
26,21,40,99,21
45,18,17,39,74
40,82,24,77,183
21,61,36,25,61
26,24,21,1,24
47,77,63,88,228
31,96,62,65,158
49,14,66,7,87
21,42,87,17,42
43,62,87,48,197
33,63,48,45,111
42,38,62,4,104
43,37,85,22,144
26,44,78,94,44
41,59,7,33,99
24,60,44,60,60
39,61,44,100,105
60,45,67,27,139
53,63,92,60,215
55,28,36,64,128
37,35,47,22,82
54,9,97,61,167
39,35,67,53,102
33,100,7,44,107
20,92,56,24,92
25,64,60,56,64
29,40,51,22,40
32,45,38,49,83
24,100,49,41,100
49,32,94,9,135
54,12,68,31,111
26,24,31,6,24
59,49,63,10,122
28,73,83,96,73
58,64,68,83,215
27,71,82,64,71
51,60,8,7,75
39,95,61,63,156
21,41,17,7,41
32,29,52,90,81
33,55,80,8,135
49,19,16,38,73
57,69,9,44,122
33,75,20,33,95
50,43,58,15,116
33,41,92,65,133
29,13,83,20,13
40,50,40,41,131
56,70,90,65,225
60,84,90,81,255
41,35,39,92,166
30,98,54,60,152
34,75,13,73,88
22,6,69,32,6
35,64,46,49,110
44,24,98,96,218
23,21,84,18,21
52,19,96,82,197
43,31,96,17,144
46,63,47,30,140
25,39,49,39,39
60,88,93,58,239
36,46,26,97,72
47,69,15,40,124
49,97,76,23,196
49,14,62,20,96
42,67,33,54,154
57,77,79,54,210
25,8,2,13,8
58,73,59,43,175
41,88,99,8,195
45,4,74,5,83
24,16,100,27,16
41,88,72,92,252
32,88,81,62,169
30,48,30,32,78
34,97,89,97,186
59,35,32,31,98
52,51,66,6,123
25,54,46,40,54
23,10,62,6,10
60,73,85,39,197
39,23,1,42,24
31,69,100,4,169
20,26,67,91,26
54,46,16,70,132
45,65,60,8,133
